"('Glee', 'Monopoly')",10
"('Dogs', 'Facebook')",923
"('Conservative', 'FARKLE')",30
"('Gladiator', 'Metallica')",12
"('Singing', 'Sports')",276
"('DORY', 'Eating')",38
"('Cricket', 'HBO')",25
"('Horoscopes', 'iPhone')",1
"('Mario', 'Windows')",4
"('BlackBerry', 'Jesus')",6
"('Nickelback', 'Walking')",3
"('Xbox', 'iPhone')",104
"('Friday', 'Friendship')",1263
"('Slash', 'Squirt')",6
"('House', 'UNO')",3
"('Adele', 'Drake')",17
"('Bed', 'Gucci')",1
"('Oreo', 'Reggae')",20
"('Hollyoaks', 'Twilight')",2
"('Slash', 'WWE')",16
"('Chess', 'Drawing')",7
"('MTV', 'Target')",2
"('2pac', 'Nelly')",1
"('Hanes', 'Jabbawockeez')",1
"('PicBadges', 'ZARA')",2
"('Aerosmith', 'Jesus')",2
"('Salt', 'iPod')",2
"('PlayStation', 'iTunes')",4
"('Wanted', 'WillSmith')",1
"('Aropostale', 'Bones')",27
"('Ronaldinho', 'Xbox')",3
"('History', 'Jackass')",181
"('Rocky', 'RyanGiggs')",1
"('2011', 'Tisto')",1
"('Rubberduckzilla', 'ShoeDazzle')",1
"('Nemo', 'Stewie')",1
"('Church', 'Oasis')",2
"('Dior', 'Playboy')",4
"('Slurpee', 'Smiling')",766
"('Icecream', 'Jeep')",7
"('Pitbull', 'RayWilliamJohnson')",1
"('MTV', 'Misfits')",103
"('NFL', 'Shrek')",1
"('Pop', 'Sugarland')",7
"('PicBadges', 'Playfish')",22
"('Halloween', 'Nirvana')",1
"('CSI', 'LAUGHING')",1
"('PopChat', 'Rugrats')",7
"('2pac', 'Kesha')",1
"('Hunting', 'Monopoly')",9
"('Beyonc', 'Dogs')",13
"('Lacoste', 'Oasis')",1
"('Soccer', 'Sugarland')",28
"('NHL', 'WWE')",1
"('Oreo', 'Windows')",7
"('Subway', 'vitaminwater')",4
"('Love', 'Wonka')",2
"('Bowling', 'Cash')",150
"('MyFamily', 'MythBusters')",1
"('God', 'Lifetime')",37
"('BMW', 'Badminton')",210
"('Drake', 'Football')",184
"('Gucci', 'Playboy')",2
"('Partying', 'Survivor')",2
"('AmrDiab', 'BlackBerry')",1
"('Pink', 'Shaq')",9
"('India', 'Money')",85
"('Rock', 'bubblewrap')",2
"('FrontierVille', 'Rihanna')",9
"('Sugarland', 'Wii')",4
"('LAUGHING', 'Pink')",9
"('Weezer', 'Windows')",187
"('Ludacris', 'Shakira')",1
"('RightChange', 'Salt')",30
"('Netflix', 'Painting')",24
"('Rugrats', 'Subway')",7
"('Drawing', 'Hiking')",5
"('India', 'YouTube')",7
"('Conservative', 'Games')",8
"('Friendship', 'Sleeping')",1
"('Stewie', 'Wwe')",2
"('Arsenal', 'BernieMac')",3
"('Bones', 'Jazz')",1
"('Sushi', 'iTunes')",11
"('LAUGHING', 'Madonna')",6
"('Dogs', 'Twilight')",1
"('Jackass', 'Soccer')",4
"('Squirt', 'StarWars')",1
"('Twitter', 'WWE')",159
"('Scarface', 'Swimming')",13
"('Singing', 'eBuddy')",2
"('Pandora', 'Rocky')",3
